lga,risk,signals,model_version,training_date,note
Alkaleri,unrated,n<5 usable rows,risk-v0-heuristic,2026-09-23,provisional single-window; change-vs-prior activates with >=2 windows; baseline votes in data/baseline_lg2026.csv
Bauchi,unrated,n<5 usable rows,risk-v0-heuristic,2026-09-23,provisional single-window; change-vs-prior activates with >=2 windows; baseline votes in data/baseline_lg2026.csv
Zaki,unrated,n<5 usable rows,risk-v0-heuristic,2026-09-23,provisional single-window; change-vs-prior activates with >=2 windows; baseline votes in data/baseline_lg2026.csv
unclear,safe,neg_share=0.25,risk-v0-heuristic,2026-09-23,provisional single-window; change-vs-prior activates with >=2 windows; baseline votes in data/baseline_lg2026.csv
