document_id,source_id,publisher,title,url,publication_date,retrieved_date,document_type,content_hash,local_file,word_count,review_status
delivery-33fd05348950,source-cibs,radionigerianortheast.gov.ng,UK-Funded CRIBS Project to Upgrade 24 Schools and Clinics in Five Bauchi LGAs - Radio Nigeria North East Zone,https://radionigerianortheast.gov.ng/?p=4427,2026-05-12,2026-09-24,public_web_page,e84959c428edb8cf6da5bfe3154cfa9bf2b692940648dc0deadca57ae0e3c71c,source_snapshots/delivery-33fd05348950.html,301,published_source
delivery-ca12e78302e9,source-alkaleri-lga,alkaleri-lga.bauchistate.gov.ng,"Alkaleri Residents Hail Bauchi Gov for Roads, Schools, Projects – Alkaleri Local Government",https://alkaleri-lga.bauchistate.gov.ng/alkaleri-residents-hail-bauchi-gov-for-roads-schools-projects/,,2026-09-24,public_web_page,71dbdf20fba14b33e80d814834cacc6e241e675ef68f3588c94940846c94934c,source_snapshots/delivery-ca12e78302e9.html,290,published_source
delivery-103e93618da4,source-bauchi-ward-road,tribuneonlineng.com,"Bauchi Reps member, Aminu Garu, flags off 2km rural road",https://tribuneonlineng.com/bauchi-reps-member-aminu-garu-flags-off-2km-rural-road/,2025-04-06,2026-09-24,public_web_page,79a70720a44bdf61c55e2234742e4bd5dd6a0318b38e6a569e0ffb84ce286362,source_snapshots/delivery-103e93618da4.html,572,published_source
delivery-18fde4a3b67f,source-bogoro-road,thesun.ng,Bauchi residents excited as Governor Bala Mohammed delivers Boi–Tapshin Road Project – The Sun Nigeria,https://thesun.ng/bauchi-residents-excited-as-governor-bala-mohammed-delivers-boi-tapshin-road-project/,2025-09-12,2026-09-24,public_web_page,69eb855120ca2f1cb8ba187db86dad21def433e33a73dc8f2bf4c19b8c353d27,source_snapshots/delivery-18fde4a3b67f.html,522,published_source
delivery-f7de3efd7715,source-dambam-health,tribuneonlineng.com,Bauchi govt reiterates commitment to quality healthcare delivery,https://tribuneonlineng.com/bauchi-govt-reiterates-commitment-to-quality-healthcare-delivery/,2025-09-07,2026-09-24,public_web_page,f51b68753e3a99e6bc524c47e6c46caf9571d771100ee89f0f4845b5ef8cac17,source_snapshots/delivery-f7de3efd7715.html,504,published_source
delivery-0d484617da44,source-dass-road,9newsng.com,Bauchi Governor To Build Township Roads At Dass - 9News Nigeria,https://9newsng.com/bauchi-governor-to-build-township-roads-at-dass/,2024-09-14,2026-09-24,public_web_page,24d1181dd5e22ad8b1bb302ee7812040a00b1b4749754a44f9927359731608e1,source_snapshots/delivery-0d484617da44.html,256,published_source
delivery-f8670a402d80,source-ganjuwa-education,www.bauchistate.gov.ng,We’ll intensify efforts to foster educational development — Bauchi Gov – BASG,https://www.bauchistate.gov.ng/well-intensify-efforts-to-foster-educational-development-bauchi-gov/,,2026-09-24,public_web_page,aca9b3dc10a6617e2d5a955c1267d633f5afa9bc9dd46b4f4c67cfae095f8b2a,source_snapshots/delivery-f8670a402d80.html,246,published_source
delivery-38333dcf2778,source-giade-mill,fsssolutions.org,The Mill That Brought Opportunity Home to Kurba,https://fsssolutions.org/fsss-impact/the-mill-that-brought-opportunity-home-to-kurba/,2026-07-10,2026-09-24,public_web_page,42b351e1a7c5ad516169e9a0afe8ca199f3b2b8b110476eb82375e6af06b31ba,source_snapshots/delivery-38333dcf2778.html,1305,published_source
delivery-1cd6fc15f1f9,source-jamaare-flood,fmino.gov.ng,Jama'are Communities should take over the ownership and maintenance of project - FG - Federal Ministry of Information and National Orientation,https://fmino.gov.ng/jamaare-communities-should-take-over-the-ownership-and-maintenance-of-project-fg/,2022-01-24,2026-09-24,public_web_page,01fe41774d3c1a28ba02f1c020ef787b21092184646efb805e86101857117de6,source_snapshots/delivery-1cd6fc15f1f9.html,691,published_source
delivery-7241b7895fc8,source-ningi-road,albarkaradio.com,"Bauchi State Media Tour: Ningi Gets Major Road Projects as 22km Dual Carriageway, 4km Township Road Transform Local Communities",https://albarkaradio.com/bauchi-state-media-tour-ningi-gets-major-road-projects-as-22km-dual-carriageway-4km-township-road-transform-local-communities/,2025-09-12,2026-09-24,public_web_page,f879027bcd38a4d5501b31d060c8e854f4f1f5200fda5ed7abd26ead1734aa26,source_snapshots/delivery-7241b7895fc8.html,309,published_source
delivery-e517ee54d187,source-torodo-water,tribuneonlineng.com,"WaterAid Nigeria, RUWASA provide boreholes to 30 Bauchi communities",https://tribuneonlineng.com/wateraid-nigeria-ruwasa-provide-boreholes-to-30-bauchi-communities/,2024-12-17,2026-09-24,public_web_page,0748bb3aa6421c9277e1ab023afddbcb1bc93b1893a924e2a325e6cfde97f695,source_snapshots/delivery-e517ee54d187.html,825,published_source
delivery-fa3bab085ba0,source-warji-acresal,tribuneonlineng.com,"ACReSAL provides plant nurseries, water schemes in three Bauchi LGAs",https://tribuneonlineng.com/acresal-provides-plant-nurseries-water-schemes-in-three-bauchi-lgas/,2025-07-26,2026-09-24,public_web_page,7f0108e3f64d3860805257bd9592066bf67a921219bd8b1d5bba43dd789e4929,source_snapshots/delivery-fa3bab085ba0.html,592,published_source
delivery-b15bf301ce56,source-basg-education-scorecard,home.bauchistate.gov.ng,"Bauchi govt says 300 schools renovated, 3,000 teachers recruited in one year – Bauchi State Government",https://home.bauchistate.gov.ng/bauchi-govt-says-300-schools-renovated-3000-teachers-recruited-in-one-year/,2025-05-26,2026-09-24,public_web_page,cb08aebfc704388081c34a670e0fe8160aaad30b7ad747a8388f31e5ae286bec,source_snapshots/delivery-b15bf301ce56.html,451,published_source
